gene	layer	n_snps	mean_chisq	ratio_to_genome	pct_p005	pct_p1e4	top_snp_lp
SEMA3A	A	4026	2.556762967204942	2.3196304776603984	19.970193740685545	2.9557873820168905	8.390800476074219
SEMA3D	A	3862	1.878285025444015	1.7040794342840766	13.723459347488348	0.0	3.652600049972534
ROBO1	A	5075	1.3104615882909427	1.1889200050977056	9.517241379310343	0.0	3.4326999187469482
SLIT2	A	5315	1.2544544497052927	1.1381073692389159	8.033866415804328	0.05644402634054562	5.765399932861328
MBP	B	4981	1.2787315042145457	1.1601327960265417	8.472194338486249	0.0	3.2146999835968018
MAG	B	3319	1.0563465363324425	0.9583734010847476	7.562518830973184	0.030129557095510694	4.161799907684326
PLP1	B	1752	1.293443456581975	1.1734802566770237	9.58904109589041	0.0	2.8743999004364014
OXTR	C	3925	1.1559474426880345	1.048736606805613	7.1847133757961785	0.0	2.968899965286255
LRRTM1	D	2478	0.9818131255779595	0.8907527520814168	4.116222760290557	0.0	3.0727999210357666
PCDH11X	D	4739	1.0980576521261565	0.9962159295840136	7.00569740451572	0.02110149820637265	4.356299877166748
CNTNAP2	D	16387	1.2371020024159878	1.1223643120566262	8.482333557087935	0.0	3.8661000728607178
