gene	layer	window_size	obs_sig	exp_mean	enrichment	perm_p	threshold
SEMA3A	A	658922	119	2.468	48.21717990275527	0.01	0.0001
SEMA3D	A	726656	0	2.571	0.0	1.0	0.0001
ROBO1	A	982327	0	0.896	0.0	1.0	0.0001
SLIT2	A	834349	3	1.987	1.5098137896326118	0.054	0.0001
MBP	B	628615	0	0.583	0.0	1.0	0.0001
MAG	B	519697	1	2.852	0.3506311360448808	0.305	0.0001
PLP1	B	528927	0	0.248	0.0	1.0	0.0001
OXTR	C	516476	0	0.389	0.0	1.0	0.0001
LRRTM1	D	518389	0	1.343	0.0	1.0	0.0001
PCDH11X	D	911710	1	0.347	2.8818443804034586	0.17	0.0001
CNTNAP2	D	2304637	0	8.29	0.0	1.0	0.0001
