facility_id,callsign,frequency_khz,lat,lon,state,country,city,erp_kw,service_code
CA_314616,CIRS,530.0,46.516694,-84.350028,ON,CA,SAULT STE MARIE,0.05,AM
CA_314614,CJFT,530.0,42.897833,-78.95725,ON,CA,FORT ERIE,0.25,AM
CA_495422,CKHL,530.0,58.507861,-117.148028,AB,CA,HIGH LEVEL,1.0,AM
CA_314610,CKHL,530.0,58.507861,-117.148028,AB,CA,HIGH LEVEL,0.4,AM
CA_495238,CKHL,530.0,58.507861,-117.148028,AB,CA,HIGH LEVEL,0.4,AM
CA_604126,CKHL,530.0,58.507861,-117.148028,AB,CA,HIGH LEVEL,1.0,AM
CA_314611,NEW,530.0,49.042333,-122.683222,BC,CA,SURREY,1.0,AM
CA_314612,NEW,530.0,49.278444,-123.131583,BC,CA,VANCOUVER,0.4,AM
CA_1633065,CHLO,530.0,43.588056,-79.883889,ON,CA,BRAMPTON,1.0,AM
CA_1801022,CHLO,530.0,43.588056,-79.883889,ON,CA,BRAMPTON,1.0,AM
CA_495421,CKHL,530.0,58.507861,-117.148028,AB,CA,HIGH LEVEL,0.25,AM
CA_314631,CBK,540.0,51.680028,-105.4475,SK,CA,WATROUS,50.0,AM
MX_507375,XEWA,540.0,22.136472,-100.919583,SL,MX,SAN LUIS POTOSI,150.0,AM
BML-20161101ABQ,WASG,540.0,30.746028,-88.094167,AL,US,DAPHNE,2.5,AM
BL-19940804AD,KVIP,540.0,40.623472,-122.281389,CA,US,REDDING,2.5,AM
BML-20130516AOS,KRXA,540.0,36.659972,-121.542444,CA,US,CARMEL VALLEY,10.0,AM
BL-20090619ADT,WFLF,540.0,28.481667,-81.66175,FL,US,PINE HILLS,50.0,AM
BL-20061108AJK,WDAK,540.0,32.432917,-84.9505,GA,US,COLUMBUS,4.0,AM
BL-14509,KWMT,540.0,42.495806,-94.209417,IA,US,FORT DODGE,5.0,AM
BL-20110914AEN,KMLB,540.0,32.622083,-92.064306,LA,US,MONROE,4.0,AM
BL-5806,WGOP,540.0,38.053167,-75.569361,MD,US,POCOMOKE CITY,0.5,AM
BMML-20160706ABU,WXYG,540.0,45.604972,-94.139444,MN,US,SAUK RAPIDS,0.85,AM
BMML-20201005AAV,WETC,540.0,35.869306,-78.431944,NC,US,WENDELL-ZEBULON,10.0,AM
0000246805,WETC,540.0,35.869306,-78.431944,NC,US,WENDELL-ZEBULON,10.0,AM
0000281557,WRGC,540.0,35.391917,-83.24875,NC,US,SYLVA,1.0,AM
BL-19801010AF,KNMX,540.0,35.573667,-105.171944,NM,US,LAS VEGAS,5.0,AM
BL-20100216AES,WBWD,540.0,40.751778,-73.213444,NY,US,ISLIP,10.0,AM
BL-19941209AB,WWCS,540.0,40.2895,-80.185056,PA,US,CANONSBURG,5.0,AM
BL-19921001AA,WYNN,540.0,34.218222,-79.808111,SC,US,FLORENCE,0.25,AM
BL-20111209KKQ,WKFN,540.0,36.542,-87.325556,TN,US,CLARKSVILLE,4.0,AM
BL-20020816AAZ,KDFT,540.0,32.513194,-96.574722,TX,US,FERRIS,1.0,AM
BL-5291,WGTH,540.0,37.083722,-81.782611,VA,US,RICHLANDS,1.0,AM
BML-20010213ABW,WAUK,540.0,43.333333,-88.153139,WI,US,JACKSON,0.4,AM
0000268260,CKBO,540.0,50.614167,-127.569722,BC,CA,COAL HARBOUR,0.04,AM
CA_314624,NEW,540.0,49.255389,-122.634611,BC,CA,VANCOUVER,50.0,AM
0000267119,NEW,540.0,47.813889,-65.146389,NB,CA,GRANDE-ANSE,10.0,AM
CA_1800650,CBT,540.0,48.95,-55.626389,NF,CA,GRAND FALLS,10.0,AM
CA_314626,NEW,540.0,44.66675,-63.665972,NS,CA,HALIFAX,10.0,AM
CA_495423,CJSB,540.0,45.189222,-75.779139,ON,CA,OTTAWA,50.0,AM
CA_314628,CBEF,540.0,42.14725,-83.092417,ON,CA,WINDSOR,2.5,AM
CA_314630,CBGA-1,540.0,47.813917,-65.146639,QC,CA,NEW CARLISLE,10.0,AM
CA_314629,CHIC,540.0,48.366667,-71.082917,QC,CA,CHICOUTIMI,10.0,AM
CA_495425,CHIC,540.0,48.366667,-71.082917,QC,CA,CHICOUTIMI,10.0,AM
MX_307723,XE,540.0,31.063417,-114.836889,BN,MX,SAN FELIPE,1.0,AM
MX_307730,XETIN,540.0,32.500611,-116.964472,BN,MX,TIJUANA,0.1,AM
MX_307731,XE,540.0,31.723444,-106.539722,CH,MX,CD.JUAREZ,0.45,AM
MX_1172477,XEAT,540.0,26.918,-105.636806,CH,MX,HIDALGO DEL PARRAL,1.5,AM
MX_1166452,XETX,540.0,30.484306,-107.968333,CH,MX,NUEVO CASAS GRANDES,3.9,AM
MX_307732,XENVA2,540.0,30.266528,-106.47025,CH,MX,ROSARIO,0.1,AM
MX_406378,XEMIT1,540.0,16.2075,-92.115556,CS,MX,COMITAN,5.0,AM
MX_307733,XEMIT,540.0,16.2075,-92.115556,CS,MX,COMITAN,5.0,AM
MX_307736,XEWA1,540.0,25.668389,-100.31225,NL,MX,MONTERREY,0.5,AM
MX_1244343,XEWA,540.0,25.692,-100.243917,NL,MX,GUADALUPE,1.5,AM
MX_495305,XEWA1,540.0,25.668389,-100.31225,NL,MX,MONTERREY,1.0,AM
MX_1132935,XEWA1,540.0,25.692,-100.243917,NL,MX,GUADALUPE,5.0,AM
MX_1744832,XEHS,540.0,25.838556,-109.063778,SI,MX,LOS MOCHIS,5.0,AM
MX_1132923,XEWA,540.0,22.158417,-100.92625,SL,MX,SOLEDAD DE GRACIANO,150.0,AM
MX_307737,XEWA,540.0,22.170639,-100.960139,SL,MX,SAN LUIS POTOSI,150.0,AM
MX_307738,XENVA2,540.0,30.391806,-109.7145,SO,MX,NACOZARI DE GARCIA,0.1,AM
MX_307739,XEURE,540.0,29.426806,-110.387806,SO,MX,URES,5.0,AM
CU_305822,CMNA,540.0,20.333806,-77.132667,-,CU,MANZANILLO,1.0,AM
DO_305823,HICM,540.0,18.483333,-69.833333,-,DO,S DOMINGO,5.0,AM
ES_305828,YSHV,540.0,13.833333,-89.15,-,ES,SAN SALVADOR,10.0,AM
PM_305827,HOU 23,540.0,8.483333,-82.416667,-,PM,RADIO MIA,10.0,AM
AR_305791,LRA14,540.0,-31.65,-60.716667,-,AR,SANTA FE,25.0,AM
AR_305790,LU17,540.0,-42.766667,-65.033333,-,AR,PUERTO MADRY,25.0,AM
AR_305792,LRA25,540.0,-22.533333,-63.816667,-,AR,TARTAGAL,5.0,AM
AR_305786,LRF376,540.0,-54.616667,-65.233333,-,AR,BAHIA THETIS,25.0,AM
BR_305807,ZYH-755,540.0,-16.683333,-49.266667,-,BR,GOIANIA,10.0,AM
BR_305815,ZYK-322,540.0,-28.283333,-54.266667,-,BR,SANTO ANGELO,10.0,AM
BR_305806,ZYI-411,540.0,-19.0,-57.633333,-,BR,CORUMBA,10.0,AM
BR_305811,ZYJ-450,540.0,-22.933333,-43.116667,-,BR,NITEROI,10.0,AM
BR_305810,ZYH-295,540.0,-3.116667,-60.033333,-,BR,MANAUS,50.0,AM
BR_305804,ZYH-610,540.0,-4.333333,-39.25,-,BR,CANINDE,1.0,AM
BR_305816,ZYK-734,540.0,-22.833333,-47.283333,-,BR,SUMARE,1.0,AM
BR_305800,ZYK-697,540.0,-21.266667,-50.316667,-,BR,BIRIGUI,1.0,AM
BR_305808,ZYL331,540.0,-19.8,-48.716667,-,BR,IPANEMA,1.0,AM
BR_305798,ZYH-894,540.0,-5.583333,-45.6,-,BR,BARRA DO COR,1.0,AM
BR_305813,ZYJ-778,540.0,-27.2,-49.633333,-,BR,RIO DO SUL,10.0,AM
BR_305802,ZYJ322,540.0,-23.933333,-51.6,-,BR,BORRAZOPOLIS,1.0,AM
BR_305817,-,540.0,-19.75,-47.933333,-,BR,UBERABA,0.5,AM
BR_305794,-,540.0,-5.9,-42.65,-,BR,AGUA BRANCA,1.0,AM
BR_305805,ZYK226,540.0,-29.916667,-51.166667,-,BR,CANOAS,1.0,AM
BR_305796,ZYJ-924,540.0,-10.916667,-37.05,-,BR,ARACAJU,20.0,AM
BR_305809,ZYH-481,540.0,-11.233333,-41.8,-,BR,IRECE,1.0,AM
CI_305818,CB 54,540.0,-33.7,-71.233333,-,CI,MELIPILLA,1.0,AM
CI_305819,CD 54,540.0,-39.783333,-73.233333,-,CI,VALDIVIA,5.0,AM
CO_305820,HJKA,540.0,4.6,-74.083333,-,CO,BOGOTA,10.0,AM
EC_305824,HCFA2,540.0,-2.183333,-79.933333,-,EC,GUAYAQUIL,50.0,AM
VE_305830,YVOV,540.0,10.35,-72.216667,-,VE,V DEL ROSARI,20.0,AM
VE_305829,YVUR,540.0,5.3,-66.05,-,VE,S J MANAPIAR,25.0,AM
CR_305821,TICAL,540.0,9.883333,-83.933333,-,CR,CARTAGO,10.0,AM
GD_305825,-,540.0,12.022222,-61.767778,-,GD,MORNE ROUGE,1.0,AM
NI_305826,YNDW,540.0,12.133333,-86.216667,-,NI,R CORPORACIO,10.0,AM
BL-19890717AE,WWCS,540.0,40.2895,-80.185056,PA,US,CANONSBURG,0.5,AM
CA_495424,CJSB,540.0,45.189222,-75.779139,ON,CA,OTTAWA,12.5,AM
CA_495426,CHIC,540.0,48.366667,-71.082917,QC,CA,CHICOUTIMI,10.0,AM
0000276193,KTZN,550.0,61.165556,-149.828306,AK,US,ANCHORAGE,5.0,AM
BL-12377,KFYI,550.0,33.388111,-112.006806,AZ,US,PHOENIX,5.0,AM
BL-20110513AEQ,KUZZ,550.0,35.34025,-118.939556,CA,US,BAKERSFIELD,5.0,AM
BL-19890828AG,KLLV,550.0,37.183889,-108.082306,CO,US,BREEN,1.8,AM
BL-12245,KRAI,550.0,40.545806,-107.531722,CO,US,CRAIG,5.0,AM
BL-20140513AEO,WAYR,550.0,30.07275,-81.789806,FL,US,FLEMING ISLAND,5.0,AM
BL-19970401AM,WDUN,550.0,34.335667,-83.792111,GA,US,GAINESVILLE,10.0,AM
0000247055,KNUI,550.0,20.788556,-156.464167,HI,US,WAILUKU,1.0,AM
BL-20010705AAX,KFRM,550.0,39.434444,-97.660583,KS,US,SALINA,5.0,AM
