cable_id,cable_name,lp_id,landing_point,country,landing_lat,landing_lon,cable_type,install_year,notes
2africa,2Africa,duynefontein-south-africa,"Duynefontein, South Africa",South Africa,-33.69332250414635,18.449914853508034,fiber_or_unknown,2024.0,
2africa,2Africa,yzerfontein-south-africa,"Yzerfontein, South Africa",South Africa,-33.34822369818508,18.15553012379604,fiber_or_unknown,2024.0,
2africa,2Africa,maputo-mozambique,"Maputo, Mozambique",Mozambique,-25.96817092953566,32.580641975224495,fiber_or_unknown,2024.0,
2africa,2Africa,mahajanga-madagascar,"Mahajanga, Madagascar",Madagascar,-15.713729798684284,46.31551994061999,fiber_or_unknown,2024.0,
2africa,2Africa,nacala-mozambique,"Nacala, Mozambique",Mozambique,-14.565606565477566,40.68544580401738,fiber_or_unknown,2024.0,
2africa,2Africa,moroni-comoros,"Moroni, Comoros",Comoros,-11.700694108521787,43.24340297631164,fiber_or_unknown,2024.0,
2africa,2Africa,luanda-angola,"Luanda, Angola",Angola,-8.812854559864036,13.235025797027419,fiber_or_unknown,2024.0,
2africa,2Africa,dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",Tanzania,-6.822986816654918,39.2696997366333,fiber_or_unknown,2024.0,
2africa,2Africa,muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.","Congo, Dem. Rep.",-5.933359258652018,12.349894588125835,fiber_or_unknown,2024.0,
2africa,2Africa,pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.","Congo, Rep.",-4.778823951269715,11.863615635735243,fiber_or_unknown,2024.0,
2africa,2Africa,carana-seychelles,"Carana, Seychelles",Seychelles,-4.565748999999727,55.453028999999816,fiber_or_unknown,2024.0,
2africa,2Africa,mombasa-kenya,"Mombasa, Kenya",Kenya,-4.05301193811178,39.672848865100434,fiber_or_unknown,2024.0,
2africa,2Africa,libreville-gabon,"Libreville, Gabon",Gabon,0.394512925065328,9.454339998738732,fiber_or_unknown,2024.0,
2africa,2Africa,mogadishu-somalia,"Mogadishu, Somalia",Somalia,2.041165502382569,45.344158324054746,fiber_or_unknown,2024.0,
2africa,2Africa,kwa-ibo-nigeria,"Kwa Ibo, Nigeria",Nigeria,4.543803638521524,7.99743463088214,fiber_or_unknown,2024.0,
2africa,2Africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,5.323494303815522,-4.026253478826362,fiber_or_unknown,2024.0,
2africa,2Africa,accra-ghana,"Accra, Ghana",Ghana,5.558502094915184,-0.200914391857452,fiber_or_unknown,2024.0,
2africa,2Africa,lagos-nigeria,"Lagos, Nigeria",Nigeria,6.439093189951876,3.423509310097813,fiber_or_unknown,2024.0,
2africa,2Africa,berbera-somalia,"Berbera, Somalia",Somalia,10.435139839597326,45.01090660700845,fiber_or_unknown,2024.0,
2africa,2Africa,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,11.598738889999936,43.14583329999982,fiber_or_unknown,2024.0,
2africa,2Africa,dakar-senegal,"Dakar, Senegal",Senegal,14.686668562834853,-17.45192756170286,fiber_or_unknown,2024.0,
2africa,2Africa,salalah-oman,"Salalah, Oman",Oman,17.095865999999177,54.148039,fiber_or_unknown,2024.0,
2africa,2Africa,mumbai-india,"Mumbai, India",India,19.07608000000056,72.87586599999972,fiber_or_unknown,2024.0,
2africa,2Africa,port-sudan-sudan,"Port Sudan, Sudan",Sudan,19.6155521522995,37.21970118887137,fiber_or_unknown,2024.0,
2africa,2Africa,jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia,21.481547000000262,39.182863,fiber_or_unknown,2024.0,
2africa,2Africa,barka-oman,"Barka, Oman",Oman,23.6796149999999,58.004372999999816,fiber_or_unknown,2024.0,
2africa,2Africa,yanbu-saudi-arabia,"Yanbu, Saudi Arabia",Saudi Arabia,24.07061699999977,38.10701600000027,fiber_or_unknown,2024.0,
2africa,2Africa,abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates,24.443960000000118,54.41896,fiber_or_unknown,2024.0,
2africa,2Africa,karachi-pakistan,"Karachi, Pakistan",Pakistan,24.889676999999836,67.02853899999985,fiber_or_unknown,2024.0,
2africa,2Africa,kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,25.051524,56.3399790000002,fiber_or_unknown,2024.0,
2africa,2Africa,doha-qatar,"Doha, Qatar",Qatar,25.294536999999792,51.5193899999997,fiber_or_unknown,2024.0,
2africa,2Africa,manama-bahrain,"Manama, Bahrain",Bahrain,26.229438000000187,50.575954999999794,fiber_or_unknown,2024.0,
2africa,2Africa,al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia,26.28655800000027,50.21426199999968,fiber_or_unknown,2024.0,
2africa,2Africa,duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,27.35401900000045,35.69652899999983,fiber_or_unknown,2024.0,
2africa,2Africa,gran-canaria-canary-islands-spain,"Gran Canaria, Canary Islands, Spain",Spain,27.957734999999843,-15.596565000000169,fiber_or_unknown,2024.0,
2africa,2Africa,ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,28.36590799999985,33.082788999999764,fiber_or_unknown,2024.0,
2africa,2Africa,zafarana-egypt,"Zafarana, Egypt",Egypt,29.116661999999593,32.64989400000155,fiber_or_unknown,2024.0,
2africa,2Africa,kuwait-city-kuwait,"Kuwait City, Kuwait",Kuwait,29.374154,47.97473400000021,fiber_or_unknown,2024.0,
2africa,2Africa,al-faw-iraq,"Al Faw, Iraq",Iraq,29.923671,48.53177999999963,fiber_or_unknown,2024.0,
2africa,2Africa,suez-egypt,"Suez, Egypt",Egypt,29.97255276207389,32.530031659514265,fiber_or_unknown,2024.0,
2africa,2Africa,port-said-egypt,"Port Said, Egypt",Egypt,31.25927899999988,32.28445799999977,fiber_or_unknown,2024.0,
2africa,2Africa,tympaki-greece,"Tympaki, Greece",Greece,35.071407569999735,24.768278120000275,fiber_or_unknown,2024.0,
2africa,2Africa,carcavelos-portugal,"Carcavelos, Portugal",Portugal,38.68883841598668,-9.337919637867174,fiber_or_unknown,2024.0,
2africa,2Africa,barcelona-spain,"Barcelona, Spain",Spain,41.385628,2.168764,fiber_or_unknown,2024.0,
2africa,2Africa,marseille-france,"Marseille, France",France,43.29357899999988,5.37250699999953,fiber_or_unknown,2024.0,
2africa,2Africa,genoa-italy,"Genoa, Italy",Italy,44.41033899999988,8.938900000000245,fiber_or_unknown,2024.0,
2africa,2Africa,bude-united-kingdom,"Bude, United Kingdom",United Kingdom,50.828206861825805,-4.544404967232026,fiber_or_unknown,2024.0,
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),florence-or-united-states,"Florence, OR, United States",United States,43.98213392544807,-124.09983785116663,fiber_or_unknown,2009.0,
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),homer-ak-united-states,"Homer, AK, United States",United States,59.64636648400088,-151.5443069346379,fiber_or_unknown,2009.0,
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),nikiski-ak-united-states,"Nikiski, AK, United States",United States,60.689824374738436,-151.29171922294844,fiber_or_unknown,2009.0,
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),anchorage-ak-united-states,"Anchorage, AK, United States",United States,61.21746022819195,-149.85837062897104,fiber_or_unknown,2009.0,
aec-1,AEC-1,shirley-ny-united-states,"Shirley, NY, United States",United States,40.80028399491272,-72.8722374225294,fiber_or_unknown,2016.0,
aec-1,AEC-1,killala-ireland,"Killala, Ireland",Ireland,54.20682940735105,-9.232194615107773,fiber_or_unknown,2016.0,
alba-1,ALBA-1,la-guaira-venezuela,"La Guaira, Venezuela",Venezuela,10.603153964816613,-66.88962447316864,fiber_or_unknown,2012.0,
alba-1,ALBA-1,ocho-rios-jamaica,"Ocho Rios, Jamaica",Jamaica,18.398554763480178,-77.10319145653193,fiber_or_unknown,2012.0,
alba-1,ALBA-1,siboney-cuba,"Siboney, Cuba",Cuba,19.96363784623182,-75.71237212930235,fiber_or_unknown,2012.0,
alba-1,ALBA-1,santiago-de-cuba-cuba,"Santiago de Cuba, Cuba",Cuba,20.028793830551678,-75.82897360919972,fiber_or_unknown,2012.0,
apcn-2,APCN-2,katong-singapore,"Katong, Singapore",Singapore,1.309281803574862,103.90468812828809,fiber_or_unknown,2001.0,
apcn-2,APCN-2,cherating-malaysia,"Cherating, Malaysia",Malaysia,4.130238298773889,103.39365333405974,fiber_or_unknown,2001.0,
apcn-2,APCN-2,batangas-philippines,"Batangas, Philippines",Philippines,13.765553306627453,121.06492987806163,fiber_or_unknown,2001.0,
apcn-2,APCN-2,lantau-island-china,"Lantau Island, China",China,22.271491582355765,113.94833335702552,fiber_or_unknown,2001.0,
apcn-2,APCN-2,shantou-china,"Shantou, China",China,23.354554663213918,116.67547986258941,fiber_or_unknown,2001.0,
apcn-2,APCN-2,tanshui-taiwan,"Tanshui, Taiwan",Taiwan,25.18136115573813,121.46258584635851,fiber_or_unknown,2001.0,
apcn-2,APCN-2,chongming-china,"Chongming, China",China,31.61988322143398,121.39520308159317,fiber_or_unknown,2001.0,
apcn-2,APCN-2,chikura-japan,"Chikura, Japan",Japan,34.97665774488024,139.95466259014782,fiber_or_unknown,2001.0,
apcn-2,APCN-2,busan-south-korea,"Busan, South Korea",South Korea,35.17014221411404,128.99929925728011,fiber_or_unknown,2001.0,
apcn-2,APCN-2,kitaibaraki-japan,"Kitaibaraki, Japan",Japan,36.801783052867734,140.7509510885496,fiber_or_unknown,2001.0,
arcos,ARCOS,maria-chiquita-panama,"Maria Chiquita, Panama",Panama,9.437552783179655,-79.75354358290551,fiber_or_unknown,2001.0,
arcos,ARCOS,puerto-limon-costa-rica,"Puerto Limon, Costa Rica",Costa Rica,9.98860569236453,-83.03767211577134,fiber_or_unknown,2001.0,
